node_a,node_b,link_type,last_verified
A,I,bidirectional_fibre,2025-05-30
A,V,bidirectional_fibre,2025-05-30
A,X,bidirectional_fibre,2025-05-30
B,O,bidirectional_fibre,2025-05-30
B,T,bidirectional_fibre,2025-05-30
B,U,bidirectional_fibre,2025-05-30
C,W,bidirectional_fibre,2025-05-30
C,X,bidirectional_fibre,2025-05-30
C,Y,bidirectional_fibre,2025-05-30
D,L,bidirectional_fibre,2025-05-30
D,S,bidirectional_fibre,2025-05-30
D,W,bidirectional_fibre,2025-05-30
E,F,bidirectional_fibre,2025-05-30
E,S,bidirectional_fibre,2025-05-30
E,a,bidirectional_fibre,2025-05-30
F,G,bidirectional_fibre,2025-05-30
F,Q,bidirectional_fibre,2025-05-30
G,M,bidirectional_fibre,2025-05-30
G,Z,bidirectional_fibre,2025-05-30
H,K,bidirectional_fibre,2025-05-30
H,P,bidirectional_fibre,2025-05-30
H,U,bidirectional_fibre,2025-05-30
I,b,bidirectional_fibre,2025-05-30
I,c,bidirectional_fibre,2025-05-30
J,N,bidirectional_fibre,2025-05-30
J,R,bidirectional_fibre,2025-05-30
J,X,bidirectional_fibre,2025-05-30
K,R,bidirectional_fibre,2025-05-30
K,a,bidirectional_fibre,2025-05-30
L,O,bidirectional_fibre,2025-05-30
L,T,bidirectional_fibre,2025-05-30
M,P,bidirectional_fibre,2025-05-30
M,Z,bidirectional_fibre,2025-05-30
N,P,bidirectional_fibre,2025-05-30
N,c,bidirectional_fibre,2025-05-30
O,b,bidirectional_fibre,2025-05-30
Q,Y,bidirectional_fibre,2025-05-30
Q,a,bidirectional_fibre,2025-05-30
R,d,bidirectional_fibre,2025-05-30
S,c,bidirectional_fibre,2025-05-30
T,Y,bidirectional_fibre,2025-05-30
U,V,bidirectional_fibre,2025-05-30
V,d,bidirectional_fibre,2025-05-30
W,Z,bidirectional_fibre,2025-05-30
b,d,bidirectional_fibre,2025-05-30
